"","codew","flux_umolm2sec","plot_code","sub_plot","plot_corner_code","collar_number","measurement_code","treatment_code_partitioning","disturbance_code_control","litter_code","replica","year","egm_measurement","recno","day","month","hour","min","co2ref_ppm_sec","InputD","time","InputF","atmp_mb","probe_type","quality_code","comments","collar_num","vwc_percent_in","vwc_percent_out","soil_temp_c_in","soil_temp_c_out","air_temp_c","ch_new","ch_fill","collar_diam","codew"
"438","10.1.28.9.2016","7.16144441152959","TAM-05",10,"NaN",10,"TOTAL","NaN","NaN","normal",1,2016,60,13,28,9,8,48,620,53,57,0.88,996,8,"good","NaN",10,NA,18.85,NA,25.4,28.05,5.95,5.95,12,"10.1.28.9.2016"
"439","10.1.29.1.2012","4.12836651944865","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,1,2012,NA,27,29,1,10,33,489,48,124,0.36,990,8,NA,NA,10,NA,9,NA,25.1,25.1,4.3,4.3,12,"10.1.29.1.2012"
"440","10.1.29.10.2016","5.65695304764152","TAM-05",10,"NaN",10,"TOTAL","NaN","NaN","normal",1,2016,60,17,29,10,8,25,691,52,76,0.64,995,8,"good","NaN",10,NA,13.8333333333333,NA,24.3666666666667,27.5666666666667,6.16666666666667,6.16666666666667,12,"10.1.29.10.2016"
"441","10.1.29.5.2013","2.53061509214961","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,1,2013,NA,27,29,5,7,51,513,46,124,0.34,988,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,3.15,12,"10.1.29.5.2013"
"442","10.1.29.6.2016","3.01829966430514","TAM-05",10,"NaN",10,"TOTAL","NaN","NaN","normal",1,2016,60,25,29,6,10,11,456,50,115,0.41,996,8,"good","NaN",10,NA,11.5,NA,20.9,21,3,3,12,"10.1.29.6.2016"
"443","10.1.29.8.2005","3.73040751555186","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,1,2005,NA,24,29,8,10,5,509,50,110,0.43,990,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,5.35,12,"10.1.29.8.2005"
"444","10.1.30.11.2011","11.8946518149454","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,1,2011,NA,7,30,11,11,21,524,50,28,1.67,992,8,NA,NA,10,NA,NA,NA,26.5,26.5,4.3,4.3,12,"10.1.30.11.2011"
"445","10.1.30.5.2007","2.83738729202184","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,1,2007,NA,27,30,5,9,31,461,45,124,0.35,1000,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,4.88333333333333,12,"10.1.30.5.2007"
"446","10.1.30.8.2007","2.21101150680711","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,1,2007,NA,27,30,8,10,13,432,37,124,0.28,993,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,5.35,12,"10.1.30.8.2007"
"447","10.1.30.9.2005","2.03361572103921","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,1,2005,NA,27,30,9,7,46,720,30,124,0.23,992,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,3.9,12,"10.1.30.9.2005"
"448","10.1.30.9.2015","6.58260524074061","TAM-05",13,NA,10,"TOTAL",NA,"Y",NA,1,2015,30,16,30,9,10,0,512,50,72,0.66,986,8,"good",NA,10,NA,19.55,NA,26.9,30.25,3.2,3.2,12,"10.1.30.9.2015"
"449","10.1.31.7.2009","2.36293898928116","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,1,2009,NA,27,31,7,8,24,574,43,124,0.32,996,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,3.95,12,"10.1.31.7.2009"
"450","10.1.4.5.2014","4.67409631603775","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,1,2014,NA,16,4,5,9,46,479,51,72,0.68,992,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,3.15,12,"10.1.4.5.2014"
"451","10.2.1.3.2009","3.04198164319769","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,28,1,3,16,44,496,52,110,0.44,985,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,1.4,12,"10.2.1.3.2009"
"452","10.2.1.8.2007","2.83944833879087","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2007,NA,27,1,8,10,35,502,32,124,0.24,994,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,6.125,12,"10.2.1.8.2007"
"453","10.2.12.12.2011","8.57842630066781","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2011,NA,9,12,12,10,15,483,55,38,1.36,987,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,2.25,12,"10.2.12.12.2011"
"454","10.2.12.4.2015","3.68391094700902","TAM-05",10,"NaN",10,"TOTAL","NaN","NaN","normal",2,2015,61,47,12,4,9,53,502,51,100,0.48,992,8,"good","NaN",10,NA,23.15,NA,24.95,26.65,4.45,4.45,12,"10.2.12.4.2015"
"455","10.2.13.12.2005","4.20736338071181","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2005,NA,20,13,12,10,57,507,52,91,0.54,986,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,2.25,12,"10.2.13.12.2005"
"456","10.2.13.3.2011","3.5710219289712","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2011,NA,18,13,3,13,49,488,50,81,0.57,985,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,1.4,12,"10.2.13.3.2011"
"457","10.2.13.6.2011","3.71304643151465","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2011,NA,18,13,6,14,12,472,51,81,0.59,993,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,1.85,12,"10.2.13.6.2011"
"458","10.2.15.1.2015","7.00241866217044","TAM-05",10,"NaN",10,"TOTAL","NaN","NaN","normal",2,2015,61,13,15,1,9,42,529,52,57,0.86,993,8,"good","NaN",10,NA,18.5,NA,25.3,26.55,6.7,6.7,12,"10.2.15.1.2015"
"459","10.2.15.10.2012","10.5055111856443","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2012,NA,10,15,10,11,29,479,55,43,1.2,987,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,7.725,12,"10.2.15.10.2012"
"460","10.2.17.12.2007","4.08361739892616","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2007,NA,17,17,12,12,22,463,51,76,0.63,990,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,2.25,12,"10.2.17.12.2007"
"461","10.2.17.12.2009","4.53208990532861","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,16,17,12,9,11,454,52,72,0.68,988,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,2.25,12,"10.2.17.12.2009"
"462","10.2.17.12.2012","2.9481413384724","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2012,NA,23,17,12,9,11,502,50,105,0.44,987,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,2.25,12,"10.2.17.12.2012"
"463","10.2.17.6.2014","4.05620493857444","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2014,NA,16,17,6,23,52,535,51,72,0.67,999,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,1.85,12,"10.2.17.6.2014"
"464","10.2.17.7.2014","3.11258354037001","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2014,NA,25,17,7,0,37,510,50,115,0.41,1002,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,3.775,12,"10.2.17.7.2014"
"465","10.2.18.12.2006","3.66487237550441","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2006,NA,25,18,12,7,52,550,53,115,0.43,991,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,2.25,12,"10.2.18.12.2006"
"466","10.2.18.5.2015","3.09949075693154","TAM-05",10,"NaN",10,"TOTAL","NaN","NaN","normal",2,2015,61,18,18,5,9,5,548,50,81,0.58,994,8,"good","NaN",10,NA,20,NA,24.2,24.7,0,0,12,"10.2.18.5.2015"
"467","10.2.18.7.2011","6.53450381935266","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2011,NA,13,18,7,9,39,632,53,57,0.87,994,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,3.775,12,"10.2.18.7.2011"
"468","10.2.19.10.2013","7.28776900117886","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2013,NA,13,19,10,8,13,486,53,57,0.87,991,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,7.725,12,"10.2.19.10.2013"
"469","10.2.19.12.2008","2.81628786132839","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2008,NA,25,19,12,9,59,513,50,115,0.41,990,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,2.25,12,"10.2.19.12.2008"
"470","10.2.19.12.2013","5.7500632869728","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2013,NA,13,19,12,12,14,496,51,57,0.83,986,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,2.25,12,"10.2.19.12.2013"
"471","10.2.19.9.2012","2.33465266361551","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2012,NA,27,19,9,11,44,482,49,124,0.37,987,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,3.9,12,"10.2.19.9.2012"
"472","10.2.2.10.2006","5.25848217708021","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2006,NA,21,2,10,8,38,602,50,96,0.49,993,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,7.725,12,"10.2.2.10.2006"
"473","10.2.20.1.2014","5.23885842085998","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2014,NA,18,20,1,9,18,462,51,81,0.59,987,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,6.325,12,"10.2.20.1.2014"
"474","10.2.20.11.2007","4.22781926430664","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2007,NA,19,20,11,10,25,497,50,86,0.55,990,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,4.6,12,"10.2.20.11.2007"
"475","10.2.20.11.2016","4.26450993516332","TAM-05",10,"NaN",10,"TOTAL","NaN","NaN","normal",2,2016,61,17,20,11,8,54,511,52,76,0.64,986,8,"good","NaN",10,NA,24.3,NA,23.7,26.3,2.5,2.5,12,"10.2.20.11.2016"
"476","10.2.20.12.2016","5.243882439478","TAM-05",10,"NaN",10,"TOTAL","NaN","NaN","normal",2,2016,61,14,20,12,8,49,577,53,62,0.8,987,8,"good","NaN",10,NA,24,NA,27.3,27.5,2.5,2.5,12,"10.2.20.12.2016"
"477","10.2.20.2.2015","5.84940883835209","TAM-05",10,"NaN",10,"TOTAL","NaN","NaN","normal",2,2015,61,21,20,2,10,5,877,54,57,0.88,986,8,"good","NaN",10,NA,19,NA,25.3,26.7,3.2,3.2,12,"10.2.20.2.2015"
"478","10.2.20.7.2015","4.17432200280483","TAM-05",10,"NaN",10,"TOTAL","NaN","NaN","normal",2,2015,61,18,20,7,10,23,457,50,81,0.58,992,8,"good","NaN",10,NA,16.95,NA,23.25,26.7,4.55,4.55,12,"10.2.20.7.2015"
"479","10.2.20.8.2014","3.55645189315355","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2014,NA,25,20,8,9,8,574,50,115,0.41,996,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,6.125,12,"10.2.20.8.2014"
"480","10.2.21.12.2014","3.81263391140792","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2014,NA,17,21,12,9,1,578,53,76,0.65,987,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,2.25,12,"10.2.21.12.2014"
"481","10.2.21.3.2012","7.33338457043663","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2012,NA,10,21,3,11,16,493,53,43,1.17,993,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,1.4,12,"10.2.21.3.2012"
"482","10.2.22.11.2008","3.74754950794173","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2008,NA,23,22,11,9,41,454,50,105,0.45,992,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,4.6,12,"10.2.22.11.2008"
"483","10.2.22.2.2008","2.93349087323686","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2008,NA,25,22,2,10,46,498,50,115,0.41,992,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,2.85,12,"10.2.22.2.2008"
"484","10.2.22.2.2013","2.92757657712146","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2013,NA,24,22,2,10,52,450,51,110,0.43,990,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,2.85,12,"10.2.22.2.2013"
"485","10.2.22.3.2008","2.92744576406957","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2008,NA,19,22,3,11,43,468,50,86,0.55,991,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,1.4,12,"10.2.22.3.2008"
"486","10.2.22.6.2007","3.16615074101257","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2007,NA,22,22,6,9,21,647,51,100,0.48,994,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,1.85,12,"10.2.22.6.2007"
"487","10.2.22.8.2013","2.81373904799699","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2013,NA,27,22,8,8,59,575,44,124,0.33,985,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,6.125,12,"10.2.22.8.2013"
"488","10.2.22.9.2008","2.3559412897275","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2008,NA,27,22,9,10,52,422,38,124,0.29,996,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,3.9,12,"10.2.22.9.2008"
"489","10.2.22.9.2014","4.29349298142228","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2014,NA,16,22,9,23,18,529,51,72,0.67,995,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,3.9,12,"10.2.22.9.2014"
"490","10.2.23.1.2008","3.74315267675498","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2008,NA,27,23,1,11,17,443,50,124,0.38,988,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,6.325,12,"10.2.23.1.2008"
"491","10.2.23.10.2007","4.22774979021067","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2007,NA,23,23,10,10,3,454,52,105,0.46,993,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,7.725,12,"10.2.23.10.2007"
"492","10.2.23.2.2010","3.85460216846368","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2010,NA,21,23,2,8,54,495,51,96,0.5,988,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,2.85,12,"10.2.23.2.2010"
"493","10.2.23.3.2015","4.03303035176944","TAM-05",10,"NaN",10,"TOTAL","NaN","NaN","normal",2,2015,61,14,23,3,9,59,581,51,62,0.77,992,8,"good","NaN",10,NA,19,NA,26.5,27.5,0,0,12,"10.2.23.3.2015"
"494","10.2.23.4.2011","5.04462540159688","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2011,NA,16,23,4,9,24,565,52,72,0.68,992,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,4.425,12,"10.2.23.4.2011"
"495","10.2.23.5.2014","3.60366155072251","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2014,NA,26,23,5,1,21,461,50,120,0.39,998,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,6.7875,12,"10.2.23.5.2014"
"496","10.2.23.6.2006","3.58992911856039","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2006,NA,20,23,6,8,39,502,52,91,0.54,997,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,1.85,12,"10.2.23.6.2006"
"497","10.2.23.7.2006","2.3314035256601","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2006,NA,27,23,7,9,41,548,42,124,0.32,993,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,3.775,12,"10.2.23.7.2006"
"498","10.2.23.8.2015","4.81348594505413","TAM-05",10,"NaN",10,"TOTAL","NaN","NaN","normal",2,2015,61,13,23,8,9,38,525,50,57,0.83,988,8,"good","NaN",10,NA,19,NA,26.2,28.5,2.5,2.5,12,"10.2.23.8.2015"
"499","10.2.23.9.2013","5.33477201013932","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2013,NA,14,23,9,8,21,779,51,62,0.77,995,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,3.9,12,"10.2.23.9.2013"
"500","10.2.24.1.2007","8.03727837620177","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2007,NA,15,24,1,8,57,554,56,67,0.79,990,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,6.325,12,"10.2.24.1.2007"
"501","10.2.24.1.2013","4.44260336731692","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2013,NA,19,24,1,11,38,438,51,86,0.56,985,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,6.325,12,"10.2.24.1.2013"
"502","10.2.24.11.2006","4.61312584497692","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2006,NA,21,24,11,8,19,501,51,96,0.51,991,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,4.6,12,"10.2.24.11.2006"
"503","10.2.24.11.2009","5.84207752886008","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,14,24,11,8,25,516,50,62,0.76,988,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,4.6,12,"10.2.24.11.2009"
"504","10.2.24.2.2011","2.92757657712146","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2011,NA,24,24,2,7,51,562,51,110,0.44,990,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,2.85,12,"10.2.24.2.2011"
"505","10.2.24.3.2013","2.50783893842433","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2013,NA,24,24,3,9,19,550,50,110,0.43,983,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,1.4,12,"10.2.24.3.2013"
"506","10.2.24.4.2006","3.71388607410969","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2006,NA,24,24,4,9,11,707,50,110,0.43,993,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,4.425,12,"10.2.24.4.2006"
"507","10.2.24.4.2013","2.90359252766332","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2013,NA,27,24,4,8,35,595,50,124,0.38,992,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,4.425,12,"10.2.24.4.2013"
"508","10.2.24.6.2009","2.89374156825551","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,22,24,6,9,54,566,51,100,0.48,995,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,1.85,12,"10.2.24.6.2009"
"509","10.2.24.6.2013","2.82492951552869","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2013,NA,21,24,6,12,11,558,52,96,0.51,990,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,1.85,12,"10.2.24.6.2013"
"510","10.2.24.7.2008","2.80331904293873","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2008,NA,27,24,7,9,52,507,45,124,0.34,995,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,3.775,12,"10.2.24.7.2008"
"511","10.2.24.9.2007","2.827129547673","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2007,NA,27,24,9,11,15,448,49,124,0.37,996,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,3.9,12,"10.2.24.9.2007"
"512","10.2.24.9.2011","3.76775914696241","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2011,NA,25,24,9,10,10,482,51,115,0.42,995,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,3.9,12,"10.2.24.9.2011"
"513","10.2.25.1.2009","5.57421870477798","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,16,25,1,10,8,511,51,72,0.67,988,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,6.325,12,"10.2.25.1.2009"
"514","10.2.25.1.2010","6.2512165148236","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2010,NA,15,25,1,9,31,523,51,67,0.71,990,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,6.325,12,"10.2.25.1.2010"
"515","10.2.25.10.2009","7.08882517693934","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,15,25,10,9,8,485,53,67,0.75,990,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,7.725,12,"10.2.25.10.2009"
"516","10.2.25.10.2015","7.59457769087603","TAM-05",10,"NaN",10,"TOTAL","NaN","NaN","normal",2,2015,61,13,25,10,8,51,453,52,57,0.86,992,8,"good","NaN",10,NA,13.25,NA,26.2,26.95,7.4,7.4,12,"10.2.25.10.2015"
"517","10.2.25.11.2013","6.9639114672911","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2013,NA,12,25,11,8,40,531,52,52,0.92,986,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,4.6,12,"10.2.25.11.2013"
"518","10.2.25.11.2014","4.95908792549054","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2014,NA,16,25,11,13,9,500,52,72,0.68,983,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,4.6,12,"10.2.25.11.2014"
"519","10.2.25.2.2007","3.3871173852878","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2007,NA,25,25,2,9,59,488,51,115,0.42,996,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,2.85,12,"10.2.25.2.2007"
"520","10.2.25.3.2007","3.87058763393584","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2007,NA,17,25,3,9,54,508,52,76,0.64,994,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,1.4,12,"10.2.25.3.2007"
"521","10.2.25.4.2008","3.38752461560721","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2008,NA,21,25,4,9,13,478,50,81,0.58,992,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,4.425,12,"10.2.25.4.2008"
"522","10.2.25.5.2016","2.42530130726437","TAM-05",10,"NaN",10,"TOTAL","NaN","NaN","normal",2,2016,61,26,25,5,8,40,622,47,115,0.38,994,8,"good","NaN",10,NA,21,NA,21.4,19.7,3.7,3.7,12,"10.2.25.5.2016"
"523","10.2.25.6.2005","2.20475548057563","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2005,NA,27,25,6,8,36,572,44,124,0.33,995,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,1.85,12,"10.2.25.6.2005"
"524","10.2.25.6.2008","1.79676492493645","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2008,NA,27,25,6,10,18,423,36,124,0.27,998,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,1.85,12,"10.2.25.6.2008"
"525","10.2.25.6.2012","5.38489367784059","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2012,NA,13,25,6,10,2,535,51,57,0.85,997,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,1.85,12,"10.2.25.6.2012"
"526","10.2.25.6.2015","3.34868455369183","TAM-05",10,"NaN",10,"TOTAL","NaN","NaN","normal",2,2015,61,18,25,6,9,17,516,51,81,0.59,997,8,"good","NaN",10,NA,14,NA,23.5,24.6,0,0,12,"10.2.25.6.2015"
"527","10.2.25.7.2013","1.25844137940968","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2013,NA,27,25,7,9,45,427,27,124,0.21,1005,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,3.775,12,"10.2.25.7.2013"
"528","10.2.25.8.2009","3.98894091912524","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,21,25,8,8,5,509,50,96,0.49,994,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,6.125,12,"10.2.25.8.2009"
"529","10.2.25.8.2011","1.95604854123445","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2011,NA,27,25,8,10,52,511,28,124,0.21,996,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,6.125,12,"10.2.25.8.2011"
"530","10.2.26.10.2005","6.37243916251405","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2005,NA,16,26,10,9,36,521,50,72,0.66,991,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,7.725,12,"10.2.26.10.2005"
"531","10.2.26.10.2006","5.76511335028727","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2006,NA,20,26,10,9,20,456,52,91,0.54,993,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,7.725,12,"10.2.26.10.2006"
"532","10.2.26.10.2008","4.41546915744056","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2008,NA,22,26,10,9,56,455,51,100,0.48,992,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,7.725,12,"10.2.26.10.2008"
"533","10.2.26.10.2011","7.67133579071459","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2011,NA,14,26,10,11,54,521,54,62,0.82,991,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,7.725,12,"10.2.26.10.2011"
"534","10.2.26.12.2015","6.34787648493514","TAM-05",10,"NaN",10,"TOTAL","NaN","NaN","normal",2,2015,61,11,26,12,9,39,492,50,48,0.98,988,8,"good","NaN",10,NA,22,NA,25.4,25.7,2,2,12,"10.2.26.12.2015"
"535","10.2.26.2.2016","5.33615198525636","TAM-05",10,"NaN",10,"TOTAL","NaN","NaN","normal",2,2016,61,13,26,2,10,2,524,53,57,0.86,986,8,"good","NaN",10,NA,27,NA,27,28.3,2.8,2.8,12,"10.2.26.2.2016"
"536","10.2.26.3.2009","2.66131433097233","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,23,26,3,10,14,499,51,105,0.45,991,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,1.4,12,"10.2.26.3.2009"
"537","10.2.26.4.2009","3.72136620718947","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2009,NA,22,26,4,9,40,480,51,100,0.48,995,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,4.425,12,"10.2.26.4.2009"
"538","10.2.26.5.2008","4.58162311151186","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2008,NA,18,26,5,10,9,483,50,81,0.58,992,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,6.7875,12,"10.2.26.5.2008"
"539","10.2.26.5.2012","6.61083876702986","TAM-05",10,NA,NA,"TOTAL",NA,NA,NA,2,2012,NA,14,26,5,11,11,528,51,62,0.77,994,8,NA,NA,10,NA,NA,NA,NA,25.4508076923077,NA,6.7875,12,"10.2.26.5.2012"
