Plot,Day,plot_code,year,month,day,litterfall_trap_num,litterfall_trap_size_m2,leaves_g_per_trap,twigs_g_per_trap,flowers_g_per_trap,fruits_g_per_trap,bromeliads_g_per_trap,epiphytes_g_per_trap,other_g_per_trap,Total weigth,Notes
PAN-02,2,PAN-02,2014,5,NA,1,,19.53,0.2,0.45,2.24,,,,,April month
PAN-02,2,PAN-02,2014,5,NA,2,,11.45,0.49,,3.67,,,,,April month
PAN-02,2,PAN-02,2014,5,NA,3,,16.83,4.36,,0.1,0.04,0.36,0.07,,April month
PAN-02,2,PAN-02,2014,5,NA,4,,26.34,1.41,,0.89,,0.08,,,April month
PAN-02,2,PAN-02,2014,5,NA,5,,15.67,0,0.96,,,0.01,,,April month
PAN-02,2,PAN-02,2014,5,NA,6,,8.27,2,,0.03,0.06,,,,April month
PAN-02,2,PAN-02,2014,5,NA,7,,18.64,3.24,,0.04,,0.01,,,April month
PAN-02,2,PAN-02,2014,5,NA,8,,20.4,2.66,11.89,,,,,,April month
PAN-02,2,PAN-02,2014,5,NA,9,,9.21,1.01,0.81,,,,,,April month
PAN-02,2,PAN-02,2014,5,NA,10,,9.53,10.1,,,,,,,April month
PAN-02,2,PAN-02,2014,5,NA,11,,19.56,0.68,0.05,0.41,,,,,April month
PAN-02,2,PAN-02,2014,5,NA,12,,11.66,0,,,,0.02,,,April month
PAN-02,2,PAN-02,2014,5,NA,13,,29.05,1.28,,,,0.04,,,April month
PAN-02,2,PAN-02,2014,5,NA,14,,22.5,1.17,,0.09,,,,,April month
PAN-02,2,PAN-02,2014,5,NA,15,,19.85,0.04,,0.02,2.57,,,,April month
PAN-02,2,PAN-02,2014,5,NA,16,,13.89,18.47,1.61,,0.41,,,,April month
PAN-02,2,PAN-02,2014,5,NA,17,,25.81,1.03,0.11,0.09,,0.12,,,April month
PAN-02,2,PAN-02,2014,5,NA,18,,21.16,2.39,0.23,,,,,,April month
PAN-02,2,PAN-02,2014,5,NA,19,,9.61,3.39,,0.71,,,,,April month
PAN-02,2,PAN-02,2014,5,NA,20,,18.29,8.34,0.04,,,,,,April month
PAN-02,2,PAN-02,2014,5,NA,21,,14.45,2.47,,,,,,,April month
PAN-02,2,PAN-02,2014,5,NA,22,,16.02,4.78,,,,,,,April month
PAN-02,2,PAN-02,2014,5,NA,23,,15.14,7.32,,0.27,,0.01,,,April month
PAN-02,2,PAN-02,2014,5,NA,24,,30.12,5.23,0.44,,,0.3,,,April month
PAN-02,2,PAN-02,2014,5,NA,25,,12.05,4.33,,0.03,,,,,April month
